id,time,type,building,address,area,price,floor,county
149,2023/12/05,車位,,新北市板橋區三民路二段,7坪,2800,,板橋區
150,2023/12/04,獨立套房,無電梯公寓,新北市板橋區雙十路二段,17坪,14000,5 / 5,板橋區
151,2023/12/02,廠房,,新北市泰山區楓江路,120坪,75000,1 / 1,泰山區
152,2023/12/01,整層住家,電梯大樓,新北市三峽區大德路,50坪,36800,12 / 14,三峽區
153,2023/11/30,整層住家,無電梯公寓,新北市板橋區長安街,3坪,6000,3 / 4,板橋區
154,2023/11/30,整層住家,無電梯公寓,新北市板橋區長安街,4坪,6000,3 / 4,板橋區
155,2023/11/30,倉庫,無電梯公寓,新北市板橋區長安街,3坪,6000,3 / 4,板橋區
156,2023/11/30,雅房,無電梯公寓,新北市板橋區長安街,30坪,6000,3 / 4,板橋區
157,2023/11/30,廠辦,,新北市新莊區大安路,155坪,90000,1 / ,新莊區
158,2023/11/29,整層住家,電梯大樓,新北市中和區南華路,27坪,35000,2 / 7,中和區
159,2023/11/29,整層住家,電梯大樓,新北市中和區南華路,27坪,35000,2 / 7,中和區
160,2023/11/29,廠辦,,新北市三重區光復路二段,220坪,160000,1 / ,三重區
161,2023/11/27,車位,,新北市板橋區金門街,2坪,2000,,板橋區
162,2023/11/26,獨立套房,無電梯公寓,新北市板橋區溪崑二街,10坪,8500,4 / 5,板橋區
163,2023/11/26,分租套房,電梯大樓,新北市淡水區學府路,5坪,5000,10 / 14,淡水區
164,2023/11/26,獨立套房,電梯大樓,新北市淡水區學府路,8坪,12000,3 / 14,淡水區
165,2023/11/26,獨立套房,電梯大樓,新北市淡水區學府路,8坪,12000,3 / 14,淡水區
166,2023/11/25,廠辦,,新北市三重區重新路五段,98.73坪,90000,5 / ,三重區
167,2023/11/25,整層住家,電梯大樓,新北市淡水區新市一路一段,52.69坪,29000,9 / 15,淡水區
168,2023/11/25,整層住家,電梯大樓,新北市三峽區三樹路,24.23坪,28000,15 / 15,三峽區
169,2023/11/24,整層住家,無電梯公寓,新北市板橋區四維路,23.05坪,20000,3 / 5,板橋區
170,2023/11/24,廠辦,,新北市中和區中板路,210坪,120000,-1 / ,中和區
171,2023/11/24,整層住家,電梯大樓,新北市板橋區合安一路,23.85坪,25000,17 / 24,板橋區
172,2023/11/23,分租套房,電梯大樓,新北市汐止區復興路,7.5坪,7500,12 / 12,汐止區
173,2023/11/23,獨立套房,無電梯公寓,新北市三重區大仁街,6坪,6500,5 / 5,三重區
174,2023/11/22,獨立套房,無電梯公寓,新北市中和區景新街,10坪,11800,4 / 5,中和區
175,2023/11/22,整層住家,無電梯公寓,新北市中和區景新街,10坪,11800,4 / 5,中和區
176,2023/11/22,獨立套房,無電梯公寓,新北市中和區景新街,10坪,11800,4 / 5,中和區
177,2023/11/22,整層住家,無電梯公寓,新北市板橋區中山路二段,31坪,20000,5 / 5,板橋區
178,2023/11/22,分租套房,無電梯公寓,新北市中和區和平街,12坪,12000,1 / 5,中和區
179,2023/11/21,整層住家,無電梯公寓,新北市三重區力行路二段,27坪,20000,4 / 5,三重區
180,2023/11/21,整層住家,無電梯公寓,新北市中和區景平路,19坪,18500,4 / 5,中和區
181,2023/11/20,整層住家,電梯大樓,新北市三重區環河南路,50坪,50000,13 / 14,三重區
182,2023/11/20,整層住家,電梯大樓,新北市深坑區阿柔洋,29.87坪,18000,2 / 4,深坑區
183,2023/11/20,獨立套房,無電梯公寓,新北市中和區南華路,5坪,6000,3 / 5,中和區
184,2023/11/20,整層住家,無電梯公寓,新北市中和區景平路,19坪,18500,4 / 5,中和區
185,2023/11/18,整層住家,電梯大樓,新北市淡水區學府路,15坪,16500,3 / 17,淡水區
186,2023/11/18,整層住家,電梯大樓,新北市新店區安祥路,47.78坪,33500,3 / 7,新店區
187,2023/11/17,廠辦,,新北市板橋區和平路,108坪,90000,2 / ,板橋區
188,2023/11/16,整層住家,電梯大樓,新北市中和區中正路,39.55坪,26000,10 / 21,中和區
189,2023/11/15,辦公,電梯大樓,新北市三重區新北大道二段,103坪,105000,7 / 10,三重區
190,2023/11/15,廠辦,,新北市三重區新北大道二段,103坪,105000,7 / ,三重區
191,2023/11/15,辦公,無電梯公寓,新北市新莊區中正路,24坪,17000,1 / 5,新莊區
192,2023/11/15,雅房,電梯大樓,新北市林口區文化二路一段,6坪,5820,6 / 19,林口區
193,2023/11/15,倉庫,電梯大樓,新北市三重區仁美街,31.13坪,13000,-1 / 7,三重區
194,2023/11/14,獨立套房,無電梯公寓,新北市中和區中和路,7坪,13000,4 / 4,中和區
195,2023/11/13,分租套房,無電梯公寓,新北市三重區仁華街,10坪,6200,6 / 6,三重區
196,2023/11/13,辦公,電梯大樓,新北市三峽區學成路,44.47坪,32500,3 / 3,三峽區
197,2023/11/12,獨立套房,電梯大樓,新北市淡水區學府路,8坪,8000,3 / 14,淡水區
198,2023/11/12,獨立套房,電梯大樓,新北市淡水區學府路,8坪,8000,3 / 14,淡水區
199,2023/11/12,整層住家,電梯大樓,新北市樹林區佳園路三段,17.81坪,24000,12 / 15,樹林區
200,2023/11/12,整層住家,電梯大樓,新北市三峽區民生街,7.8坪,11000,9 / 16,三峽區
